dir	RunInd	Encode	length	fil1	fil2	ReadNber
244	111012_0263_C03GTACXX_1_SA-PE-003	Sanger / Illumina 1.9	101	111012_0263_C03GTACXX_1_SA-PE-003_1.sanfastq.gz	111012_0263_C03GTACXX_1_SA-PE-003_2.sanfastq.gz	26376504
245	111020_0145_D070RACXX_5_SA-PE-004	Sanger / Illumina 1.9	101	111020_0145_D070RACXX_5_SA-PE-004_1.sanfastq.gz	111020_0145_D070RACXX_5_SA-PE-004_2.sanfastq.gz	36002140
246	111020_0145_D070RACXX_5_SA-PE-005	Sanger / Illumina 1.9	101	111020_0145_D070RACXX_5_SA-PE-005_1.sanfastq.gz	111020_0145_D070RACXX_5_SA-PE-005_2.sanfastq.gz	30276252
247	111020_0145_D070RACXX_5_SA-PE-006	Sanger / Illumina 1.9	101	111020_0145_D070RACXX_5_SA-PE-006_1.sanfastq.gz	111020_0145_D070RACXX_5_SA-PE-006_2.sanfastq.gz	29186196
248	111020_0145_D070RACXX_5_SA-PE-007	Sanger / Illumina 1.9	101	111020_0145_D070RACXX_5_SA-PE-007_1.sanfastq.gz	111020_0145_D070RACXX_5_SA-PE-007_2.sanfastq.gz	17644092
249	111020_0145_D070RACXX_5_SA-PE-008	Sanger / Illumina 1.9	101	111020_0145_D070RACXX_5_SA-PE-008_1.sanfastq.gz	111020_0145_D070RACXX_5_SA-PE-008_2.sanfastq.gz	26862048
25	111020_0145_D070RACXX_2_SA-PE-007	Sanger / Illumina 1.9	101	111020_0145_D070RACXX_2_SA-PE-007_1.sanfastq.gz	111020_0145_D070RACXX_2_SA-PE-007_2.sanfastq.gz	23997084
251	111012_0263_C03GTACXX_3_SA-PE-002	Sanger / Illumina 1.9	101	111012_0263_C03GTACXX_3_SA-PE-002_1.sanfastq.gz	111012_0263_C03GTACXX_3_SA-PE-002_2.sanfastq.gz	24639712
252	111020_0145_D070RACXX_3_SA-PE-010	Sanger / Illumina 1.9	101	111020_0145_D070RACXX_3_SA-PE-010_1.sanfastq.gz	111020_0145_D070RACXX_3_SA-PE-010_2.sanfastq.gz	26280996
253	111020_0145_D070RACXX_3_SA-PE-011	Sanger / Illumina 1.9	101	111020_0145_D070RACXX_3_SA-PE-011_1.sanfastq.gz	111020_0145_D070RACXX_3_SA-PE-011_2.sanfastq.gz	33744820
254	111020_0145_D070RACXX_3_SA-PE-012	Sanger / Illumina 1.9	101	111020_0145_D070RACXX_3_SA-PE-012_1.sanfastq.gz	111020_0145_D070RACXX_3_SA-PE-012_2.sanfastq.gz	35036570
256	111020_0145_D070RACXX_4_SA-PE-001	Sanger / Illumina 1.9	101	111020_0145_D070RACXX_4_SA-PE-001_1.sanfastq.gz	111020_0145_D070RACXX_4_SA-PE-001_2.sanfastq.gz	28005604
257	111020_0145_D070RACXX_4_SA-PE-002	Sanger / Illumina 1.9	101	111020_0145_D070RACXX_4_SA-PE-002_1.sanfastq.gz	111020_0145_D070RACXX_4_SA-PE-002_2.sanfastq.gz	29951384
273	111012_0263_C03GTACXX_1_SA-PE-007	Sanger / Illumina 1.9	101	111012_0263_C03GTACXX_1_SA-PE-007_1.sanfastq.gz	111012_0263_C03GTACXX_1_SA-PE-007_2.sanfastq.gz	29284362
275	111012_0263_C03GTACXX_1_SA-PE-008	Sanger / Illumina 1.9	101	111012_0263_C03GTACXX_1_SA-PE-008_1.sanfastq.gz	111012_0263_C03GTACXX_1_SA-PE-008_2.sanfastq.gz	33310194
276	111020_0145_D070RACXX_4_SA-PE-003	Sanger / Illumina 1.9	101	111020_0145_D070RACXX_4_SA-PE-003_1.sanfastq.gz	111020_0145_D070RACXX_4_SA-PE-003_2.sanfastq.gz	29869536
277	111020_0145_D070RACXX_4_SA-PE-004	Sanger / Illumina 1.9	101	111020_0145_D070RACXX_4_SA-PE-004_1.sanfastq.gz	111020_0145_D070RACXX_4_SA-PE-004_2.sanfastq.gz	31927802
280	111012_0263_C03GTACXX_1_SA-PE-009	Sanger / Illumina 1.9	101	111012_0263_C03GTACXX_1_SA-PE-009_1.sanfastq.gz	111012_0263_C03GTACXX_1_SA-PE-009_2.sanfastq.gz	30680396
281	111012_0263_C03GTACXX_1_SA-PE-010	Sanger / Illumina 1.9	101	111012_0263_C03GTACXX_1_SA-PE-010_1.sanfastq.gz	111012_0263_C03GTACXX_1_SA-PE-010_2.sanfastq.gz	27162806
282	111012_0263_C03GTACXX_1_SA-PE-011	Sanger / Illumina 1.9	101	111012_0263_C03GTACXX_1_SA-PE-011_1.sanfastq.gz	111012_0263_C03GTACXX_1_SA-PE-011_2.sanfastq.gz	20787926
283	111012_0263_C03GTACXX_1_SA-PE-012	Sanger / Illumina 1.9	101	111012_0263_C03GTACXX_1_SA-PE-012_1.sanfastq.gz	111012_0263_C03GTACXX_1_SA-PE-012_2.sanfastq.gz	30966362
284	111020_0145_D070RACXX_4_SA-PE-005	Sanger / Illumina 1.9	101	111020_0145_D070RACXX_4_SA-PE-005_1.sanfastq.gz	111020_0145_D070RACXX_4_SA-PE-005_2.sanfastq.gz	32174266
285	111020_0145_D070RACXX_4_SA-PE-006	Sanger / Illumina 1.9	101	111020_0145_D070RACXX_4_SA-PE-006_1.sanfastq.gz	111020_0145_D070RACXX_4_SA-PE-006_2.sanfastq.gz	32426778
286	111012_0263_C03GTACXX_3_SA-PE-003	Sanger / Illumina 1.9	101	111012_0263_C03GTACXX_3_SA-PE-003_1.sanfastq.gz	111012_0263_C03GTACXX_3_SA-PE-003_2.sanfastq.gz	25044210
29	110418_0015_707VLAAXX_1_SA-PE-006	Illumina 1.5	75	110418_0015_707VLAAXX_1_SA-PE-006_1.solfastq.gz	110418_0015_707VLAAXX_1_SA-PE-006_2.solfastq.gz	5657798
32	111020_0145_D070RACXX_2_SA-PE-008	Sanger / Illumina 1.9	101	111020_0145_D070RACXX_2_SA-PE-008_1.sanfastq.gz	111020_0145_D070RACXX_2_SA-PE-008_2.sanfastq.gz	31200126
36	110418_0015_707VLAAXX_1_SA-PE-007	Illumina 1.5	75	110418_0015_707VLAAXX_1_SA-PE-007_1.solfastq.gz	110418_0015_707VLAAXX_1_SA-PE-007_2.solfastq.gz	4207238
