""	"Cytisus"	"Lathyrus"	"L.corn."	"L.ped."	"Medicago"	"Ononis"	"Pisum"	"Trifolium"	"MeanDecreaseAccuracy"	"MeanDecreaseGini"
"Gr_g2_3_1"	"0.0142"	"0"	"2e-04"	"0.0092"	"0.0045"	"7e-04"	"0.005"	"0.0031"	"0.0041"	"0.3105"
"PMT_616_1_1"	"0.0031"	"6e-04"	"0.0081"	"0.002"	"0.0084"	"2e-04"	"0.0027"	"0.0061"	"0.0046"	"0.3099"
"Or_g51_1_13"	"0.0022"	"0"	"-0.0011"	"0.0133"	"0.0032"	"7e-04"	"0.003"	"0.0015"	"0.0034"	"0.3045"
"Or_g65_3_1"	"0.0047"	"1e-04"	"0.0177"	"0.0014"	"0.0028"	"0.0028"	"0.0053"	"-7e-04"	"0.0034"	"0.2995"
"ApisSNMP_g9_1_16"	"-1e-04"	"3e-04"	"-5e-04"	"0.0037"	"-2e-04"	"0.0094"	"0.0082"	"0.0044"	"0.0028"	"0.2985"
"Or_g63_2_3"	"0.0093"	"2e-04"	"0.0192"	"0.001"	"8e-04"	"4e-04"	"0.0053"	"0.001"	"0.0034"	"0.2955"
"PMT_590_1_1"	"0.0033"	"2e-04"	"0.0271"	"0.0026"	"0.0013"	"0.0021"	"0.0036"	"-2e-04"	"0.0041"	"0.2939"
"Gr_g2_1_5"	"0.0019"	"0"	"-2e-04"	"0.0177"	"0.0014"	"0.001"	"0.0049"	"0.0021"	"0.0039"	"0.2917"
"Control_g121_2_3"	"0.007"	"9e-04"	"0.0095"	"0.0073"	"0.0094"	"0.0038"	"-9e-04"	"0.0014"	"0.0053"	"0.2905"
"Gr_g2_2_2"	"0.0139"	"0"	"-5e-04"	"0.0085"	"0.0038"	"0.001"	"0.0032"	"0.0027"	"0.0036"	"0.2894"
"PMT_591_1_1"	"0.0041"	"2e-04"	"0.0257"	"8e-04"	"0.0016"	"0.0024"	"0.0043"	"-9e-04"	"0.0037"	"0.2862"
"Gr_g21_1_10"	"0.0047"	"0"	"1e-04"	"0.0043"	"0.0018"	"8e-04"	"0.0198"	"-0.001"	"0.0029"	"0.2847"
"Or_g60_4_2"	"0.0012"	"0.0213"	"0.0025"	"0.0023"	"0.002"	"0.0024"	"0.0012"	"0.0012"	"0.0038"	"0.2806"
"Gr_g60_1_4"	"0.0014"	"0.0215"	"0.0016"	"0.0016"	"0.0018"	"0.002"	"0.0014"	"0.0018"	"0.0037"	"0.2798"
"PMT_17_1_1"	"0.0143"	"0"	"0.0017"	"0.0052"	"4e-04"	"5e-04"	"0.0044"	"0.0039"	"0.0027"	"0.2787"
"P450_g22_4_4"	"0.0149"	"0"	"0.0117"	"7e-04"	"0.0026"	"0.0015"	"8e-04"	"-9e-04"	"0.0026"	"0.278"
"PMT_20_1_1"	"0.0133"	"0"	"0.0022"	"0.0044"	"0"	"8e-04"	"0.0039"	"0.0037"	"0.0026"	"0.2777"
