""	"Cytisus"	"Lathyrus"	"L.corn."	"L.ped."	"Medicago"	"Ononis"	"Pisum"	"Trifolium"	"MeanDecreaseAccuracy"	"MeanDecreaseGini"
"PMT_257_1_1"	"0.0286"	"1e-04"	"0.0034"	"0.0015"	"0.0029"	"5e-04"	"5e-04"	"0.0015"	"0.003"	"0.3717"
"PMT_501_1_1"	"0.0025"	"7e-04"	"0.0012"	"0.0017"	"0.0022"	"0.0156"	"0.0024"	"0.0014"	"0.0032"	"0.3612"
"Control_g188_6_3"	"0.0308"	"2e-04"	"5e-04"	"8e-04"	"0.0062"	"0.0042"	"0.0054"	"0.0028"	"0.0044"	"0.3556"
"Gr_g33_3_2"	"0.0255"	"2e-04"	"0.0048"	"-1e-04"	"0.0021"	"6e-04"	"5e-04"	"0.001"	"0.0024"	"0.3541"
"PMT_499_1_1"	"0.0019"	"5e-04"	"0.0021"	"0.0013"	"0.0023"	"0.0143"	"0.0023"	"0.0014"	"0.0031"	"0.3462"
"Gr_g31_1_5"	"0.0018"	"6e-04"	"0.0021"	"0.0012"	"0.002"	"0.0113"	"0.0016"	"0.0011"	"0.0025"	"0.3429"
"PMT_500_1_1"	"0.0016"	"3e-04"	"0.0019"	"0.0018"	"0.0017"	"0.014"	"0.002"	"0.0016"	"0.0029"	"0.3339"
"Control_g133_3_2"	"-4e-04"	"4e-04"	"0.0041"	"7e-04"	"0.0082"	"0"	"0.0084"	"0.006"	"0.0043"	"0.3313"
"PMT_249_1_1"	"0.0018"	"3e-04"	"0.0014"	"0.0011"	"0.0022"	"0.0111"	"0.0022"	"0.0013"	"0.0026"	"0.3312"
"PMT_377_1_1"	"0.0011"	"0"	"0.0014"	"0.0064"	"0.0032"	"-4e-04"	"0.0016"	"0.0029"	"0.0025"	"0.3232"
"PMT_401_1_1"	"0.0063"	"0"	"0.003"	"-7e-04"	"0.0036"	"0"	"8e-04"	"0.0054"	"0.0024"	"0.29"
"Or_g49_1_13"	"0.0032"	"0.0156"	"0.0019"	"0.0018"	"0.0016"	"0.0016"	"0.0018"	"0.0013"	"0.0031"	"0.2815"
"PMT_256_1_1"	"0.0337"	"0"	"0.0017"	"8e-04"	"0.002"	"5e-04"	"-2e-04"	"0.001"	"0.0026"	"0.2808"
"P450_g24_1_9"	"0.0363"	"0"	"6e-04"	"7e-04"	"0.0015"	"2e-04"	"0.001"	"5e-04"	"0.0024"	"0.2723"
"PMT_399_1_1"	"0.0051"	"2e-04"	"0.0033"	"-8e-04"	"0.0049"	"0"	"-1e-04"	"0.0068"	"0.0028"	"0.2722"
"Control_g72_2_1"	"1e-04"	"0.0066"	"-8e-04"	"6e-04"	"1e-04"	"0.0011"	"0.0034"	"0.0033"	"0.0017"	"0.2637"
"PMT_400_1_1"	"0.0048"	"1e-04"	"0.0028"	"-1e-04"	"0.0036"	"-4e-04"	"1e-04"	"0.0055"	"0.0023"	"0.2623"
"PMT_397_1_1"	"0.0052"	"-1e-04"	"0.0024"	"-2e-04"	"0.0038"	"0"	"-2e-04"	"0.0064"	"0.0024"	"0.2514"
"PMT_395_1_1"	"0.0057"	"0"	"0.0018"	"-5e-04"	"0.004"	"-2e-04"	"6e-04"	"0.0054"	"0.0023"	"0.2426"
"Gr_g50_4_1"	"0.0275"	"0"	"4e-04"	"9e-04"	"-9e-04"	"1e-04"	"0.0021"	"6e-04"	"0.0015"	"0.2397"
"PMT_396_1_1"	"0.005"	"0"	"0.0016"	"-6e-04"	"0.0038"	"2e-04"	"5e-04"	"0.0058"	"0.0023"	"0.2383"
"PMT_398_1_1"	"0.0041"	"-1e-04"	"0.0018"	"-5e-04"	"0.0033"	"-3e-04"	"-5e-04"	"0.0052"	"0.002"	"0.2312"
"PMT_299_1_1"	"0.0245"	"0"	"0.001"	"9e-04"	"-8e-04"	"5e-04"	"0.0012"	"7e-04"	"0.0015"	"0.2312"
"PS_g2_2_3"	"-0.002"	"7e-04"	"0.0021"	"0.0012"	"9e-04"	"2e-04"	"0.0015"	"0.0052"	"0.0016"	"0.2168"
"PMT_301_1_1"	"0.0247"	"0"	"7e-04"	"7e-04"	"-7e-04"	"5e-04"	"0.0011"	"7e-04"	"0.0014"	"0.2138"
"IR_g8_1_12"	"0.0012"	"0"	"2e-04"	"0.0047"	"0.0046"	"4e-04"	"0.006"	"-4e-04"	"0.0024"	"0.2097"
"PMT_648_1_7"	"0.0011"	"0.0069"	"0.0017"	"2e-04"	"0.0038"	"0.0011"	"0.0034"	"0.0019"	"0.0025"	"0.1813"
"PMT_128_1_1"	"4e-04"	"2e-04"	"9e-04"	"0.0056"	"0.0013"	"0"	"0.0012"	"9e-04"	"0.0015"	"0.1786"
"Gr_g35_1_1"	"6e-04"	"0"	"0.0041"	"7e-04"	"8e-04"	"2e-04"	"3e-04"	"6e-04"	"9e-04"	"0.1721"
"PMT_229_1_1"	"2e-04"	"0"	"0.0011"	"4e-04"	"7e-04"	"3e-04"	"0.0011"	"0.0034"	"0.0011"	"0.1706"
"PMT_130_1_1"	"5e-04"	"0"	"0.001"	"0.0049"	"0.0011"	"2e-04"	"0.0013"	"5e-04"	"0.0013"	"0.1658"
"Gr_g77_3_1"	"8e-04"	"1e-04"	"5e-04"	"0.0059"	"0.0014"	"4e-04"	"8e-04"	"9e-04"	"0.0016"	"0.1608"
"PMT_133_1_1"	"8e-04"	"1e-04"	"8e-04"	"0.0061"	"0.0011"	"6e-04"	"9e-04"	"8e-04"	"0.0016"	"0.16"
"PMT_621_1_1"	"7e-04"	"0"	"-6e-04"	"0"	"7e-04"	"3e-04"	"0.0033"	"0.0037"	"0.0011"	"0.1581"
"PMT_228_1_1"	"4e-04"	"1e-04"	"8e-04"	"3e-04"	"0.0012"	"0"	"0.001"	"0.0039"	"0.0012"	"0.1555"
"PMT_129_1_1"	"3e-04"	"1e-04"	"6e-04"	"0.0046"	"8e-04"	"2e-04"	"9e-04"	"7e-04"	"0.0012"	"0.1529"
"PMT_131_1_1"	"5e-04"	"1e-04"	"7e-04"	"0.0057"	"0.0011"	"2e-04"	"0.001"	"8e-04"	"0.0014"	"0.151"
"PMT_132_1_1"	"4e-04"	"1e-04"	"5e-04"	"0.0048"	"0.0011"	"0"	"0.001"	"8e-04"	"0.0012"	"0.1476"
"P450_g47_1_14"	"0.001"	"0.0046"	"0.0012"	"6e-04"	"9e-04"	"8e-04"	"0.0011"	"5e-04"	"0.0012"	"0.1449"
"PMT_341_1_1"	"0.0114"	"0"	"4e-04"	"2e-04"	"5e-04"	"0"	"2e-04"	"2e-04"	"8e-04"	"0.1439"
"PMT_134_1_1"	"0.0012"	"1e-04"	"-6e-04"	"0.004"	"0.0011"	"2e-04"	"0.0017"	"8e-04"	"0.0011"	"0.1399"
"P450_g29_3_2"	"3e-04"	"6e-04"	"3e-04"	"5e-04"	"0.0016"	"3e-04"	"0.0015"	"0.0014"	"0.001"	"0.1339"
"PMT_345_1_1"	"0.0126"	"0"	"0"	"3e-04"	"5e-04"	"0"	"6e-04"	"2e-04"	"9e-04"	"0.1335"
"PMT_586_1_1"	"0.0017"	"0.0044"	"0.0025"	"-1e-04"	"-1e-04"	"-3e-04"	"-2e-04"	"6e-04"	"8e-04"	"0.1321"
"Or_g8_1_16"	"4e-04"	"0.0012"	"7e-04"	"5e-04"	"-4e-04"	"6e-04"	"0.001"	"0.0012"	"5e-04"	"0.1289"
"PMT_629_1_1"	"0.0011"	"0"	"-4e-04"	"-1e-04"	"3e-04"	"0.001"	"0.0038"	"0.0021"	"8e-04"	"0.1226"
"PMT_340_1_1"	"0.0113"	"0"	"4e-04"	"1e-04"	"6e-04"	"1e-04"	"4e-04"	"2e-04"	"9e-04"	"0.1221"
"PMT_343_1_1"	"0.0105"	"0"	"2e-04"	"2e-04"	"4e-04"	"0"	"2e-04"	"2e-04"	"7e-04"	"0.1163"
"PMT_344_1_1"	"0.0116"	"0"	"2e-04"	"3e-04"	"3e-04"	"0"	"4e-04"	"1e-04"	"8e-04"	"0.1154"
"PMT_342_1_1"	"0.0091"	"0"	"0"	"3e-04"	"4e-04"	"1e-04"	"4e-04"	"1e-04"	"7e-04"	"0.1137"
"PMT_559_1_1"	"0"	"0"	"3e-04"	"2e-04"	"5e-04"	"1e-04"	"5e-04"	"0.0023"	"6e-04"	"0.1124"
"Control_g203_14_7"	"0.0037"	"0"	"-2e-04"	"1e-04"	"0.0022"	"7e-04"	"0.0011"	"-2e-04"	"8e-04"	"0.1097"
"PMT_253_1_1"	"2e-04"	"0"	"0.002"	"1e-04"	"0.0013"	"3e-04"	"5e-04"	"8e-04"	"8e-04"	"0.1095"
"P450_g68_2_1"	"1e-04"	"2e-04"	"7e-04"	"2e-04"	"3e-04"	"0.0012"	"9e-04"	"3e-04"	"5e-04"	"0.1065"
"Gr_g71_5_1"	"0.0067"	"0"	"0"	"3e-04"	"5e-04"	"1e-04"	"-9e-04"	"2e-04"	"5e-04"	"0.0984"
"Control_g73_5_2"	"6e-04"	"0.0042"	"6e-04"	"7e-04"	"7e-04"	"3e-04"	"3e-04"	"5e-04"	"0.001"	"0.0964"
"Gr_g8_4_1"	"2e-04"	"0"	"1e-04"	"3e-04"	"0.0011"	"4e-04"	"0.001"	"2e-04"	"5e-04"	"0.0908"
"P450_g58_2_3"	"2e-04"	"0"	"3e-04"	"3e-04"	"5e-04"	"0.0011"	"3e-04"	"2e-04"	"4e-04"	"0.0873"
